term	meaning	reading
耐え難い	견디기 힘들다	たえがたい
絶える	끊기다	たえる
多角的	다각적이다	たかくてき
宝くじ	복권	たからくじ
互いに	서로	たがいに
多岐	여러 방면	たき
多岐にわたる	여러 갈래에 걸치다	たきにわたる
卓越	탁월함	たくえつ
託す	맡기다, (감정이나 생각을) 담다	たくす
逞しい	강인하다	たくましい
巧み	솜씨가 좋다	たくみ
長ける	뛰어나다	たける
嗜む	즐기다	たしなむ
多数決	다수결	たすうけつ
携える	휴대하다, 데리고 가다	たずさえる
携わる	(일에) 관여하다	たずさわる
称える	칭송하다	たたえる
正す	바로잡다	ただす
漂う	표류하다, 감돌다, 떠돌다	ただよう
立ち尽くす	우두커니 서 있다	たちつくす
立ち寄る	들르다	たちよる
達者	건강하다, 능숙하다	たっしゃ
断つ	끊다	たつ
立て替える	(나중에 돌려받기로 하고) 대신 지불하다	たてかえる
建前	겉으로 내세우는 입장	たてまえ
奉る	바치다	たてまつる
たどり着く	겨우 다다르다	たどりつく
辿る	(길을) 따라가다, (일정한 방향으로) 나아가다	たどる
食べ放題	무한 리필	たべほうだい
他方	다른 쪽, 한편	たほう
多忙	매우 바쁘다	たぼう
魂	혼	たましい
玉ねぎ	양파	たまねぎ
溜り	고임	たまり
賜る	(윗사람에게) 받다, 내려 주시다	たまわる
ためらう	망설이다	ためらう
たやすい	쉽다	たやすい
垂らす	흘리다, 늘어뜨리다	たらす
たるみ	느슨함, 해이	たるみ
たるむ	느슨해지다	たるむ
垂れる	늘어지다, 흘러내리다, 말을 늘어놓다	たれる
単位	단위, 학점	たんい
単一	단일	たんいつ
単一民族	단일 민족	たんいつみんぞく
単価	단가	たんか
短期留学	단기 유학	たんきりゅうがく
探検	탐험	たんけん
探知	탐지	たんち
単調	단조롭다	たんちょう
端的	단적이다	たんてき
単独	단독	たんどく
丹念	꼼꼼하다	たんねん
堪能	능숙하다, 만끽하다	たんのう
タンパク質	단백질	たんぱくしつ
端末	단말기	たんまつ
大学祭	대학 축제	だいがくさい
代行	대행	だいこう
醍醐味	묘미	だいごみ
代替物	대체물	だいたいぶつ
大胆	대담하다	だいたん
大地	대지	だいち
台無し	엉망이 되다	だいなし
台本	대본	だいほん
打開	타개	だかい
妥協	타협	だきょう
妥結	타결	だけつ
打撃	타격	だげき
駄作	졸작	ださく
出し物	상연물	だしもの
打者	타자	だしゃ
打診	(의사를) 타진하다	だしん
打数	타수	だすう
脱却	벗어나다	だっきゃく
脱出	탈출	だっしゅつ
脱する	벗어나다	だっする
脱線	탈선하다	だっせん
脱退	탈퇴	だったい
だぶだぶ	헐렁헐렁하다, 찰랑거리다	だぶだぶ
堕落	타락	だらく
だるい	나른하다, 귀찮다	だるい
断言	단언	だんげん
断じて	결코	だんじて
断然	단연	だんぜん
断念	단념하다	だんねん
弾力	탄력	だんりょく
小さな	(명사 앞에서) 작은	ちいさな
地球温暖化	지구 온난화	ちきゅうおんだんか
地中	땅속	ちちゅう
窒息	질식	ちっそく
知的	지적이다	ちてき
地方自治体	지방 자치 단체	ちほうじちたい
緻密	치밀하다	ちみつ
致命的	치명적이다	ちめいてき
着手	착수	ちゃくしゅ
着目	주목하다	ちゃくもく
ちやほや	애지중지하다	ちやほや
宙返り	공중제비	ちゅうがえり
忠告	충고	ちゅうこく
仲裁	중재	ちゅうさい
抽出	추출	ちゅうしゅつ
中傷	중상	ちゅうしょう
中枢	중추	ちゅうすう
中途半端	어중간하다	ちゅうとはんぱ
中毒	중독	ちゅうどく
昼夜	주야	ちゅうや
中立的	중립적이다	ちゅうりつてき
中和	중화	ちゅうわ
治癒	치유	ちゆ
調印	(조약에) 조인하다	ちょういん
聴覚	청각	ちょうかく
兆候	징후	ちょうこう
聴講	청강	ちょうこう
超高速	초고속	ちょうこうそく
彫刻	조각	ちょうこく
徴収	징수	ちょうしゅう
長寿	장수	ちょうじゅ
調達	조달하다	ちょうたつ
町長	정장	ちょうちょう
調停	조정	ちょうてい
腸壁	장벽	ちょうへき
重宝	유용하다	ちょうほう
超満員	초만원	ちょうまんいん
跳躍	도약	ちょうやく
調理	조리	ちょうり
鳥類	조류	ちょうるい
調和	조화	ちょうわ
ちょくちょく	자주	ちょくちょく
直面	직면	ちょくめん
直訳	직역	ちょくやく
著作権	저작권	ちょさくけん
貯蓄	저축	ちょちく
直感	직감	ちょっかん
直感的	직감적이다	ちょっかんてき
著名	저명하다	ちょめい
ちらっと	흘끗	ちらっと
沈下	침하	ちんか
賃貸	임대	ちんたい
陳腐	진부하다	ちんぷ
珍味	진미	ちんみ
沈黙	침묵	ちんもく
陳列	진열	ちんれつ
追及	추궁	ついきゅう
追跡	추적	ついせき
費やす	(시간이나 돈을) 쓰다	ついやす
墜落	추락	ついらく
痛快	통쾌하다	つうかい
痛感	통감	つうかん
痛切	절실하다	つうせつ
通用	통용되다	つうよう
痛烈	통렬하다	つうれつ
仕える	(윗사람을) 섬기다	つかえる
司る	관장하다	つかさどる
束の間	잠깐	つかのま
突き進む	돌진하다	つきすすむ
月並み	평범하다	つきなみ
尽くす	(수단 등을) 다 쓰다, 있는 힘을 다하다	つくす
つくづく	곰곰이, 절실히	つくづく
繕う	수선하다	つくろう
接ぐ	(나무를) 접목하다	つぐ
償い	보상	つぐない
告げる	알리다	つげる
辻褄	사리	つじつま
培う	기르다	つちかう
突っかかる	덤벼들다, 부딪치다	つっかかる
突っ張る	뻣뻣해지다, 강하게 나가다, 밀어 버티다	つっぱる
勤め先	직장	つとめさき
努めて	애써	つとめて
都度	매번	つど
集う	모이다	つどう
つながり	연결	つながり
募る	(감정이나 정도가) 심해지다, 모집하다	つのる
つぶさに	샅샅이	つぶさに
呟く	중얼거리다	つぶやく
つぶら	(눈이) 동글고 귀엽다	つぶら
つぶる	눈을 감다	つぶる
蕾	꽃봉오리	つぼみ
つまむ	집다, 집어 먹다, 홀리다	つまむ
積み立てる	적립하다	つみたてる
露	이슬, 조금도	つゆ
貫く	관통하다, 관철하다	つらぬく
手厚い	극진하다	てあつい
提案書	제안서	ていあんしょ
庭園	정원	ていえん
定額制	정액제	ていがくせい
提起	제기	ていき
定義	정의	ていぎ
締結	체결	ていけつ
体裁	외관, 형식, 체면	ていさい
停滞	정체	ていたい
手痛い	뼈아프다	ていたい
邸宅	저택	ていたく
丁重	정중하다	ていちょう
低迷	침체되다	ていめい
手入れ	손질, (경찰의) 단속	ていれ
手薄	허술하다, 부족하다	てうす
手遅れ	때늦음	ておくれ
手数	수단	てかず
手がかり	단서	てがかり
手書き	손으로 쓰다	てがき
手がける	직접 맡아 하다	てがける
手柄	공적	てがら
適応	적응	てきおう
適宜	적절히	てきぎ
適性	적성	てきせい
適正	적정	てきせい
てきぱき	척척	てきぱき
手際	일 처리 솜씨	てぎわ
手応え	손에 느껴지는 감촉, 반응	てごたえ
手先	손끝, 앞잡이	てさき
手順	절차	てじゅん
手錠	수갑	てじょう
手相	손금	てそう
手立て	방법	てだて
手違い	착오	てちがい
手近	가까이 있다	てぢか
撤回	철회	てっかい
てっきり	(잘못 짐작하여) 틀림없이	てっきり
鉄鋼	철강	てっこう
鉄工所	철공소	てっこうじょ
徹する	전념하다, 밤새다	てっする
徹底	철저	てってい
撤廃	철폐	てっぱい
てっぺん	꼭대기, 자정	てっぺん
鉄道駅	철도역	てつどうえき
鉄棒	철봉	てつぼう
手作り	직접 만듦	てづくり
手取り	실수령액	てどり
手抜き	대충하다	てぬき
手配	준비하다, 수배하다	てはい
手筈	준비	てはず
手引き	안내, 주선	てびき
手本	본보기	てほん
手回し	손으로 돌림, 사전 준비	てまわし
手元	손이 닿는 곳, 수중	てもと
手分け	분담하다	てわけ
転換	전환	てんかん
転居	이사	てんきょ
典型	전형	てんけい
天候	날씨	てんこう
転校	전학	てんこう
天災	자연재해	てんさい
転職先	이직처	てんしょくさき
展示物	전시물	てんじぶつ
転じる	전환하다	てんじる
てんで	전혀	てんで
転売	되팔기	てんばい
転覆	전복	てんぷく
展望	전망	てんぼう
転落	추락	てんらく
泥酔	만취	でいすい
でかい	크다	でかい
出来	잘된 정도	でき
できる限り	가능한 한	できるかぎり
できるだけ早く	가능한 한 빨리	できるだけはやく
出くわす	맞닥뜨리다	でくわす
出所	출처	でどころ
出直し	새로 시작함, 다시 찾아감	でなおし
出番	나설 차례	でばん
電気自動車	전기 자동차	でんきじどうしゃ
電子機器	전자 기기	でんしきき
電子書籍	전자책	でんししょせき
電鉄	전철	でんてつ
伝統的	전통적이다	でんとうてき
電動化	전동화	でんどうか
問い詰める	캐묻다	といつめる
当該	해당	とうがい
陶器	도기	とうき
当局	당국	とうきょく
陶芸	도예	とうげい
統合	통합	とうごう
搭載	탑재	とうさい
倒産	도산	とうさん
糖質	당질	とうしつ
踏襲	답습	とうしゅう
当初	당초	とうしょ
当事者	당사자	とうじしゃ
投じる	던지다, 투입하다	とうじる
統制	통제	とうせい
闘争	투쟁	とうそう
統率	통솔	とうそつ
統治	통치	とうち
到底	도저히	とうてい
尊ぶ	존중하다	とうとぶ
投入	투입하다	とうにゅう
党派	당파	とうは
当病院	이 병원	とうびょういん
当ホテル	이 호텔	とうほてる
当面	당면하다, 당분간	とうめん
投与	투여	とうよ
当～	(바로 이 대상을 가리켜) 당	とう～
遠ざかる	멀어지다	とおざかる
遠出	멀리 나가다	とおで
とかく	이것저것, 자칫 ~하기 쉽다	とかく
咎める	나무라다	とがめる
解き放す	해방하다	ときはなす
途切れる	끊어지다	とぎれる
説く	설명하다, 설득하다	とく
特技	특기	とくぎ
特産	특산	とくさん
特設	특설	とくせつ
督促	독촉	とくそく
得点	득점	とくてん
匿名	익명	とくめい
特有	특유하다	とくゆう
徳用	실속형	とくよう
研ぐ	(날을) 갈다, (쌀을) 씻다	とぐ
遂げる	이루다	とげる
年頃	나이, 적령기	としごろ
都市部	도시 지역	としぶ
戸締まり	문단속	とじまり
綴じる	철하다, 달걀물을 부어 익히다	とじる
途絶える	끊어지다	とだえる
特化	특화	とっか
特許	특허	とっきょ
とっさに	순간적으로	とっさに
突破	돌파	とっぱ
突如	갑자기	とつじょ
滞る	정체되다	とどこおる
唱える	소리 내어 외다, 외치다, 주장하다	となえる
扉	문, 표제지	とびら
とぼける	시치미를 떼다	とぼける
戸惑う	당황하다	とまどう
捉える	사로잡다, 파악하다	とらえる
鳥居	신사의 기둥문	とりい
取り返し	만회	とりかえし
鳥かご	새장	とりかご
取り締まり	단속	とりしまり
取り締まる	단속하다	とりしまる
取り調べる	취조하다	とりしらべる
取りつく	달라붙다	とりつく
取り次ぐ	전하다	とりつぐ
取り除く	제거하다	とりのぞく
取り巻く	둘러싸다, 아첨하다	とりまく
取り戻す	되찾다	とりもどす
取り寄せる	(물건을) 주문해 들여오다	とりよせる
とりわけ	특히	とりわけ
採る	취하다, 채취하다, 채용하다	とる
とろける	녹다	とろける
問屋	도매상	とんや
胴	몸통	どう
同感	동감	どうかん
同級生	동급생	どうきゅうせい
同居	동거	どうきょ
どうしようもない	어쩔 수 없다	どうしようもない
同然	다름없다	どうぜん
同調	동조	どうちょう
同等	동등하다	どうとう
堂々	당당하다	どうどう
どうにか	어떻게든	どうにか
同封	동봉	どうふう
同盟	동맹	どうめい
どうやら	아무래도, (어려움 끝에) 어떻게든	どうやら
動揺	동요하다	どうよう
動力源	동력원	どうりょくげん
同類	동류	どうるい
独裁	독재	どくさい
独占	독점	どくせん
独創性	독창성	どくそうせい
土手	둑	どて
土木	토목	どぼく
ドライ	드라이하다	どらい
泥沼	수렁	どろぬま
ど忘れ	깜빡 잊음	どわすれ
どんより	(날씨나 주변이) 우중충하다, (눈빛이) 흐리멍덩하다	どんより
内閣	내각	ないかく
ないし	내지	ないし
内心	내심	ないしん
内装	내장	ないそう
内臓	내장	ないぞう
内燃エンジン	내연엔진	ないねんエンジン
苗	모종	なえ
なおさら	한층 더	なおさら
中ほど	중간	なかほど
仲間入り	합류	なかまいり
長い目で見る	긴 안목으로 보다	ながいめでみる
長々	오랫동안	ながなが
長持ち	오래가다	ながもち
投げ出す	내던지다, 포기하다	なげだす
仲人	중매인	なこうど
名残	흔적	なごり
情け深い	인정이 많다	なさけぶかい
馴染む	익숙해지다, 어울리다	なじむ
詰る	(잘못을) 따지다	なじる
なだめる	달래다	なだめる
雪崩	눈사태	なだれ
懐く	정이 들어 따르다	なつく
夏バテ	더위를 먹다	なつバテ
名付ける	이름을 붙이다	なづける
何気ない	아무렇지 않다, 평범하다	なにげない
何卒	부디	なにとぞ
何より	무엇보다도, 가장 좋다	なにより
名札	명찰	なふだ
生臭い	비린내가 나다	なまぐさい
怠け者	게으름뱅이	なまけもの
波に乗る	시류를 타다	なみにのる
滑らか	매끄럽다	なめらか
舐める	핥다, 얕보다	なめる
納屋	헛간	なや
悩ましい	고민스럽다, 관능적이다	なやましい
慣らす	익숙하게 하다	ならす
成り上がり	벼락출세	なりあがり
成り立つ	구성되다, 성립하다, 유지되다	なりたつ
なるたけ	가능한 한	なるたけ
難	어려움, 재난, 결점	なん
難解	난해하다	なんかい
難航	난항	なんこう
軟弱	연약하다	なんじゃく
なんだか	어쩐지	なんだか
なんだかんだ	이러니저러니	なんだかんだ
難点	난점	なんてん
何とか	어떻게든, 무언가	なんとか
なんとなく	왠지 모르게	なんとなく
難なく	어려움 없이	なんなく
何なりと	무엇이든	なんなりと
荷	짐	に
似通う	서로 비슷하다	にかよう
荷が重い	부담이 크다	にがおもい
苦味	쓴맛	にがみ
賑わう	북적거리다, 번창하다	にぎわう
憎しみ	증오	にくしみ
肉親	육친	にくしん
濁り	탁함	にごり
二酸化炭素	이산화탄소	にさんかたんそ
西日	서쪽에서 비치는 오후 햇빛	にしび
滲む	번지다, 배어 나오다, (감정이) 드러나다	にじむ
煮立つ	끓다	にたつ
日夜	밤낮으로	にちや
荷造り	짐 꾸리기	にづくり
二の次	뒷전	にのつぎ
鈍る	둔해지다	にぶる
入館	(도서관이나 박물관 등에) 입장하다	にゅうかん
入学金	입학금	にゅうがくきん
入学試験	입학시험	にゅうがくしけん
入手	입수	にゅうしゅ
乳児	영아	にゅうじ
入退院	입퇴원	にゅうたいいん
入念	꼼꼼하다	にゅうねん
入浴料	입욕비	にゅうよくりょう
如実	여실히	にょじつ
睨む	노려보다, 주시하다, 판단하다	にらむ
にわか	갑작스럽다, 급조한, 유행을 좇는 팬	にわか
にわかに	갑자기	にわかに
認識	인식	にんしき
妊娠	임신	にんしん
人情	인정	にんじょう
人相	관상	にんそう
忍耐	인내	にんたい
認知	인지	にんち
任務	임무	にんむ
任命	임명	にんめい
縫う	꿰매다	ぬう
抜かす	빼다, 앞지르다, 지껄이다	ぬかす
抜き打ち	예고 없이 실시하다	ぬきうち
抜け出す	빠져나가다	ぬけだす
沼	늪	ぬま
塗り直す	다시 칠하다	ぬりなおす
音色	음색	ねいろ
値打ち	값어치	ねうち
根こそぎ	뿌리째, 모조리	ねこそぎ
寝込む	곯아떨어지다, 앓아눕다	ねこむ
ねじれる	비틀어지다	ねじれる
妬む	질투하다	ねたむ
ねだる	조르다	ねだる
熱狂的	열광적이다	ねっきょうてき
熱帯夜	열대야	ねったいや
熱中症	열사병	ねっちゅうしょう
熱湯	열탕	ねっとう
熱意	열의	ねつい
熱烈	열렬하다	ねつれつ
ねばねば	끈적끈적하다	ねばねば
粘る	(물질이) 끈적거리다, 끈기 있게 버티다	ねばる
根回し	사전 조율	ねまわし
眠たい	졸리다	ねむたい
狙う	노리다	ねらう
練る	반죽하다, (계획이나 전략을) 짜다	ねる
念入り	꼼꼼하다	ねんいり
年鑑	연감	ねんかん
念願	염원	ねんがん
年金制度	연금 제도	ねんきんせいど
年功序列	연공서열	ねんこうじょれつ
燃焼	연소	ねんしょう
年次	연차	ねんじ
年長	연상, 유치원 최고 학년생	ねんちょう
念頭	염두	ねんとう
年配	연배	ねんぱい
粘膜	점막	ねんまく
濃縮	농축	のうしゅく
農地	농지	のうち
納入	납부, 납품	のうにゅう
納品	납품하다	のうひん
濃密	농밀하다	のうみつ
能面	노 가면	のうめん
脳裏	뇌리	のうり
軒並み	모두	のきなみ
臨む	(상황이나 일에) 임하다, (장소가) 면하다, (행사 등에) 참석하다	のぞむ
乗っ取る	강제로 장악하다	のっとる
のどか	한가롭다, 화창하다	のどか
罵る	욕을 퍼붓다	ののしる
延べ	총	のべ
飲み込み	삼키기, 이해력	のみこみ
飲み込む	삼키다, 이해하다	のみこむ
乗り越える	넘어서다	のりこえる
乗り出す	적극적으로 나서다, 몸을 앞으로 내밀다	のりだす
派	파	は
把握	파악	はあく
敗因	패인	はいいん
廃棄	폐기	はいき
廃棄物	폐기물	はいきぶつ
配給	배급	はいきゅう
廃墟	폐허	はいきょ
配偶者	배우자	はいぐうしゃ
背景	배경	はいけい
背景知識	배경지식	はいけいちしき
背後	등 뒤, 배후	はいご
拝借	(겸양어로) 빌리다	はいしゃく
排出	배출	はいしゅつ
排除	배제	はいじょ
排水	배수	はいすい
排斥	배척	はいせき
敗戦	패전	はいせん
配属	배속	はいぞく
排他的	배타적이다	はいたてき
配当	배당	はいとう
敗北	패배	はいぼく
配慮	배려	はいりょ
這う	기다	はう
生え変わる	(이빨이나 털이) 새로 나다	はえかわる
映える	빛나다, 돋보이다	はえる
破壊	파괴	はかい
破格	파격	はかく
はかどる	(일이) 진척되다	はかどる
儚い	덧없다	はかない
はかばかしい	순조롭다	はかばかしい
図る	도모하다, 속이다	はかる
諮る	상의하다	はかる
剥がす	벗겨 내다	はがす
歯がゆい	답답하다	はがゆい
剥がれる	벗겨지다	はがれる
破棄	파기	はき
波及	파급	はきゅう
迫害	박해	はくがい
白状	자백	はくじょう
迫力	박력	はくりょく
剥ぐ	벗기다, 박탈하다	はぐ
育む	기르다	はぐくむ
はぐらかす	교묘히 피하다	はぐらかす
派遣	파견	はけん
励ます	격려하다	はげます
励む	힘쓰다	はげむ
はしゃぐ	들떠서 떠들며 놀다	はしゃぐ
橋渡し	다리 놓기	はしわたし
弾く	튕기다, 튕겨 내다	はじく
恥じらう	수줍어하다	はじらう
恥じる	부끄러워하다	はじる
弾む	튀다, 들뜨다	はずむ
派生	파생	はせい
馳せる	이름을 떨치다	はせる
破損	파손	はそん
鉢	화분	はち
蜂蜜	꿀	はちみつ
爬虫類	파충류	はちゅうるい
発覚	발각	はっかく
発掘	발굴	はっくつ
発散	발산	はっさん
発注書	발주서	はっちゅうしょ
発芽	발아	はつが
発病	발병	はつびょう
初耳	처음 듣는 말	はつみみ
甚だ	몹시	はなはだ
華々しい	화려하다	はなばなしい
華やか	화려하다	はなやか
鼻をつく	코를 찌르다	はなをつく
跳ね返る	튀어 돌아오다	はねかえる
幅広い	폭넓다	はばひろい
阻む	저지하다	はばむ
浜	바닷가	はま
浜辺	바닷가	はまべ
はまる	들어맞다, 빠지다	はまる
生やす	(수염이나 초목을) 기르다	はやす
はらはら	조마조마하다, 가볍게 계속 떨어지다	はらはら
張り合う	경쟁하다	はりあう
張り紙	붙여 놓은 종이	はりがみ
破裂	파열	はれつ
反感	반감	はんかん
版画	판화	はんが
半額	반값	はんがく
反響	반향	はんきょう
判決	판결	はんけつ
反撃	반격	はんげき
半減	반감	はんげん
煩雑	번잡하다	はんざつ
繁殖	번식	はんしょく
繁盛	(사업이나 장사가) 번창하다	はんじょう
搬送	이송	はんそう
判定	판정	はんてい
反応	반응	はんのう・はんおう
半端	어중간하다	はんぱ
反発	반발	はんぱつ
反発心	반발심	はんぱつしん
判別	판별	はんべつ
氾濫	범람	はんらん
賠償	배상	ばいしょう
漠然	막연하다	ばくぜん
爆破	폭파	ばくは
暴露	폭로	ばくろ
化ける	둔갑하다, 몰라보게 좋아지다	ばける
抜粋	발췌	ばっすい
抜群	뛰어나다	ばつぐん
バテる	녹초가 되다	ばてる
ばらまく	뿌리다	ばらまく
万事	만사	ばんじ
伴奏	반주	ばんそう
万人	만인	ばんにん
晩年	말년	ばんねん
万能	만능	ばんのう
非	잘못, 비-	ひ
贔屓	각별히 아끼다, 후원자	ひいき
ひいては	더 나아가서는	ひいては
控え室	대기실	ひかえしつ
控える	삼가다, 대기하다, 앞두다	ひかえる
魅かれる	끌리다	ひかれる
悲観	비관	ひかん
被害者	피해자	ひがいしゃ
悲願	비원	ひがん
引き起こす	일으키다	ひきおこす
引き換え	교환	ひきかえ
引き下げる	낮추다, 거두다	ひきさげる
引き締まる	팽팽해지다	ひきしまる
引きずる	질질 끌다, (영향에) 휩쓸리다	ひきずる
引き取る	인수하다, (사람이나 동물을) 맡다	ひきとる
引き寄せる	끌어당기다	ひきよせる
引き渡す	넘겨주다	ひきわたす
非行	비행	ひこう
被災	재해를 입다	ひさい
久しい	오래되다	ひさしい
悲惨	비참하다	ひさん
ひしひし	절실히	ひしひし
比重	비중	ひじゅう
非常勤	비상근	ひじょうきん
非人道的	비인도적이다	ひじんどうてき
被選挙権	피선거권	ひせんきょけん
密か	은밀하다	ひそか
潜む	숨어 있다	ひそむ
ひたすら	오로지	ひたすら
ひたむき	한결같이 전념하다	ひたむき
左利き	왼손잡이	ひだりきき
必修	필수 과목	ひっしゅう
筆跡	필적	ひっせき
ひっそり	조용히	ひっそり
匹敵	필적하다	ひってき
必然	필연	ひつぜん
必要書類	필요 서류	ひつようしょるい
否定的	부정적	ひていてき
一息	한숨 돌리다	ひといき
人一倍	남달리	ひといちばい
人影	사람의 모습, 사람의 그림자	ひとかげ
一際	유독	ひときわ
人気	인기척	ひとけ
人混み	인파	ひとごみ
人質	인질	ひとじち
一筋	한 줄기, 외골수	ひとすじ
人出	(나들이) 인파	ひとで
人手	일손	ひとで
人波	인파	ひとなみ
ひとまず	일단	ひとまず
人見知り	낯을 가리다	ひとみしり
人目	남의 눈	ひとめ
一人暮らし	혼자 살기	ひとりぐらし
ひとりでに	저절로	ひとりでに
非難	비난	ひなん
批判的	비판적이다	ひはんてき
ひび	금, 나날	ひび
日増し	날이 갈수록 더해지다	ひまし
暇つぶし	시간 때우기	ひまつぶし
肥満	비만	ひまん
悲鳴	비명	ひめい
秘める	숨기다	ひめる
冷やかす	놀리다, (사지 않고) 구경하다	ひやかす
飛躍	비약	ひやく
飛躍的	비약적이다	ひやくてき
日焼け止め	자외선 차단제	ひやけどめ
票	표	ひょう
標語	표어	ひょうご
拍子	박자, (~한) 순간	ひょうし
表明	표명하다	ひょうめい
評論家	평론가	ひょうろんか
ひょっと	어쩌면	ひょっと
ひょっとして	어쩌면	ひょっとして
平たい	평평하다	ひらたい
閃く	번뜩이다, 나부끼다	ひらめく
非力	힘이 없다	ひりき
肥料	비료	ひりょう
昼下がり	이른 오후	ひるさがり
披露	선보이다	ひろう
貧困層	빈곤층	ひんこんそう
品質	품질	ひんしつ
品種	품종	ひんしゅ
貧弱	빈약하다	ひんじゃく
頻度	빈도	ひんど
頻繁	빈번하다	ひんぱん
貧富	빈부	ひんぷ
ひんやり	서늘하다	ひんやり
微笑	미소	びしょう
微生物	미생물	びせいぶつ
美的	미적이다	びてき
描写	묘사	びょうしゃ
微量	미량	びりょう
貧乏	가난하다	びんぼう
不意	뜻밖이다	ふい
吹聴	떠벌리다	ふいちょう
不意に	갑자기	ふいに
封鎖	봉쇄	ふうさ
風習	풍습	ふうしゅう
封じる	봉하다, 막다	ふうじる
風潮	풍조	ふうちょう
風土	풍토	ふうど
風物詩	계절을 상징하는 것	ふうぶつし
風味	풍미	ふうみ
負荷	부하	ふか
不可欠	불가결하다	ふかけつ
俯瞰	내려다보다	ふかん
不機嫌	기분이 언짢다	ふきげん
不吉	불길하다	ふきつ
不朽	불후	ふきゅう
不況	불황	ふきょう
布巾	행주	ふきん
不義理	의리가 없다, 빚을 갚지 않다	ふぎり
副交感神経	부교감신경	ふくこうかんしんけい
複合	복합	ふくごう
副作用	부작용	ふくさよう
腹心	심복	ふくしん
複製	복제	ふくせい
副専攻	부전공	ふくせんこう
覆面	복면	ふくめん
服用	복용	ふくよう
膨れる	부풀다, 토라지다	ふくれる
不景気	불경기, 침울하다	ふけいき
老ける	늙다	ふける
耽る	열중하다	ふける
布告	포고	ふこく
富豪	부호	ふごう
負債	부채	ふさい
ふざける	장난치다	ふざける
不自然	부자연스럽다	ふしぜん
負傷	부상	ふしょう
不祥事	불상사	ふしょうじ
不審	수상하다	ふしん
不振	부진하다	ふしん
不十分	불충분하다	ふじゅうぶん
不順	(날씨나 생리 주기가) 불규칙하다	ふじゅん
扶助	부조	ふじょ
付箋	포스트잇	ふせん
再び	다시	ふたたび
不注意	부주의하다	ふちゅうい
不調	상태가 나쁘다, 결렬	ふちょう
復活	부활	ふっかつ
払拭	불식	ふっしょく
不手際	일 처리의 미숙함	ふてぎわ
不当	부당	ふとう
赴任	부임	ふにん
腐敗	부패	ふはい
不評	악평	ふひょう
不備	미비	ふび
不平等	불평등	ふびょうどう
不服	불만, 불복	ふふく
普遍	보편	ふへん
踏まえる	바탕으로 삼다	ふまえる
踏み切る	단행하다	ふみきる
踏み込む	발을 들여놓다, 깊이 파고들다	ふみこむ
踏み場	발 디딜 곳	ふみば
不眠	불면	ふみん
不明	분명하지 않다	ふめい
不明瞭	불명료하다	ふめいりょう
麓	산기슭	ふもと
扶養	부양	ふよう
不用意	준비가 안 되다, 부주의하다	ふようい
振り返る	뒤돌아보다, 돌이켜보다	ふりかえる
振り出し	출발점	ふりだし
振り払う	떨쳐 내다	ふりはらう
不慮	뜻밖이다	ふりょ
不良	불량하다, 불량배	ふりょう
浮力	부력	ふりょく
振る舞い	행동거지, 대접	ふるまい
風呂場	욕실	ふろば
憤慨	분개	ふんがい
紛糾	분규하다	ふんきゅう
紛失	분실	ふんしつ
噴出	분출	ふんしゅつ
紛争	분쟁	ふんそう
ふんだん	풍부하다	ふんだん
奮闘	분투하다	ふんとう
粉末	분말	ふんまつ
武家	무가	ぶけ
侮辱	모욕	ぶじょく
武装	무장	ぶそう
物資	물자	ぶっし
物議	물의	ぶつぎ
無難	무난하다	ぶなん
無礼	무례하다	ぶれい
分散	분산	ぶんさん
分際	분수	ぶんざい
分母	분모	ぶんぼ
文脈	맥락	ぶんみゃく
分裂	분열	ぶんれつ
弊害	폐해	へいがい
兵器	병기	へいき
平均化	평균화	へいきんか
平原	평원	へいげん
並行	병행	へいこう
平行	평행, 병행하다	へいこう
閉口	난처하다, 질리다	へいこう
閉鎖	폐쇄	へいさ
弊社	저희 회사	へいしゃ
平常	평상시	へいじょう
平静	평온하다	へいせい
平然	태연하다	へいぜん
平凡	평범하다	へいぼん
平面図	평면도	へいめんず
並列	병렬	へいれつ
辟易	진저리가 나다, 기가 질리다	へきえき
隔たる	거리나 시간이 떨어져 있다, 사이가 멀어지다	へだたる
へとへと	기진맥진하다	へとへと
へりくだる	자기를 낮추다	へりくだる
経る	거치다	へる
変革	변혁	へんかく
返還	반환	へんかん
返金	환불	へんきん
変形	변형	へんけい
偏見	편견	へんけん
返済	(빚을) 갚다	へんさい
編集者	편집자	へんしゅうしゃ
返上	반납하다	へんじょう
変遷	변천	へんせん
変容	변용	へんよう
蔑視	멸시	べっし
別荘	별장	べっそう
弁解	변명	べんかい
便宜	편의	べんぎ
弁償	변상	べんしょう
保育園	어린이집	ほいくえん
保育士	보육사	ほいくし
崩壊	붕괴	ほうかい
放棄	포기	ほうき
封建	봉건	ほうけん
方策	방책	ほうさく
放射能	방사능	ほうしゃのう
報酬	보수	ほうしゅう
豊潤	풍부하고 윤택하다	ほうじゅん
報じる	보도하다	ほうじる
放置	방치	ほうち
法廷	법정	ほうてい
褒美	상	ほうび
抱負	포부	ほうふ
葬る	매장하다	ほうむる
放り出す	내팽개치다, 내쫓다	ほうりだす
飽和	포화	ほうわ
保管	보관	ほかん
朗らか	명랑하다	ほがらか
ほぐれる	(매듭이나 긴장 등이) 풀리다	ほぐれる
保険	보험	ほけん
