term	meaning	reading
出かける	외출하다	でかける
できる	할 수 있다, 생기다, 완성되다	できる
出口	출구	でぐち
でも	하지만	でも
出る	나가다, (불이나 증상 등이) 나다	でる
電気	전기, 불	でんき
電車	전철	でんしゃ
電話	전화	でんわ
電話番号	전화번호	でんわばんごう
遠い	멀다	とおい
時	때	とき
時々	가끔	ときどき
時計	시계	とけい
所	곳, (사람이나 사물의) 점	ところ
年	해, 나이	とし
図書館	도서관	としょかん
とても	매우, (부정문에서) 도저히	とても
隣	옆, 이웃	となり
飛ぶ	날다	とぶ
泊まる	묵다	とまる
鳥	새, 닭고기	とり
鶏肉	닭고기	とりにく
取る	잡다, 얻다, 없애다	とる
とんかつ	돈가스	とんかつ
どう	어떻게	どう
どういたしまして	천만에요	どういたしまして
どうして	왜, 어떻게	どうして
どうぞ、よろしく	잘 부탁합니다	どうぞ、よろしく
どうぞよろしく	잘 부탁합니다, (다른 사람에게) 안부 전해 주세요	どうぞよろしく
動物	동물	どうぶつ
動物園	동물원	どうぶつえん
どうも	고마워, 정말로, 아무래도	どうも
どこ	어디	どこ
どちら	어느 쪽, 어느 분	どちら
どなた	어느 분	どなた
どの	어느	どの
どれ	어느 것	どれ
ナイフ	칼	ないふ
内容	내용	ないよう
中	안, 가운데, 중	なか
なかなか	상당히, (부정문에서) 좀처럼	なかなか
長い	길다	ながい
鳴く	(동물이) 울다	なく
無くす	잃어버리다, 없애다	なくす
なぜ	왜	なぜ
夏	여름	なつ
夏休み	여름 방학	なつやすみ
何か	뭔가, 뭐?	なにか
名前	이름	なまえ
習う	배우다	ならう
並ぶ	줄을 서다, 필적하다	ならぶ
並べる	늘어놓다	ならべる
なる	되다, ~로 이루어지다〔～からなる〕	なる
何	무엇, 몇	なん
賑やか	활기차다	にぎやか
肉	고기	にく
西	서쪽	にし
西側	서쪽	にしがわ
西口	서쪽 출구	にしぐち
日本	일본	にほん
日本語	일본어	にほんご
日本人	일본인	にほんじん
荷物	짐	にもつ
庭	정원	にわ
脱ぐ	벗다	ぬぐ
願う	바라다, 부탁하다	ねがう
猫	고양이	ねこ
寝る	자다, 눕다	ねる
年末	연말	ねんまつ
登る	(산을) 오르다	のぼる
飲み物	음료	のみもの
飲む	마시다, (요구나 조건을) 받아들이다	のむ
乗る	교통수단이나 물건 위에 타다, 신문 등에 실리다	のる
歯	이, 톱니	は
はい	네, 자	はい
灰皿	재떨이	はいざら
入る	들어가다, 들어 있다, 켜지다	はいる
葉書	엽서	はがき
履く	(하의를) 입다	はく
博物館	박물관	はくぶつかん
箱	상자	はこ
橋	다리	はし
走る	달리다	はしる
始まる	시작되다	はじまる
初めて	처음	はじめて
はじめまして	처음 뵙겠습니다	はじめまして
始める	시작하다	はじめる
二十歳	스무 살	はたち
働く	일하다, 작용하다	はたらく
花	꽃	はな
話	이야기	はなし
話す	말하다	はなす
花火	불꽃놀이	はなび
花見	꽃구경	はなみ
母	(자신의) 어머니	はは
速い	빠르다	はやい
早く	일찍, 빨리	はやく
払う	지불하다, 털어 내다, (주의나 노력을) 기울이다	はらう
春	봄	はる
晴れる	(하늘이) 개다	はれる
半	반	はん
半年	반년	はんとし
半分	절반	はんぶん
場所	장소	ばしょ
バナナ	바나나	ばなな
番号	번호	ばんごう
晩ご飯	저녁 식사	ばんごはん
パスポート	여권	ぱすぽーと
日	날, 해	ひ
東	동쪽	ひがし
東側	동쪽	ひがしがわ
東口	동쪽 출구	ひがしぐち
低い	낮다	ひくい
飛行機	비행기	ひこうき
左	왼쪽	ひだり
左側	왼쪽	ひだりがわ
人	사람, 남	ひと
一人	한 명, 혼자	ひとり
百	백	ひゃく
ひらがな	히라가나	ひらがな
開く	열다, (꽃이) 피다	ひらく
昼	낮, 점심	ひる
昼ご飯	점심	ひるごはん
広い	넓다	ひろい
美術館	미술관	びじゅつかん
病院	병원	びょういん
病気	병	びょうき
封筒	봉투	ふうとう
吹く	불다	ふく
服	옷	ふく
二人	두 명	ふたり
太い	굵다	ふとい
冬	겨울	ふゆ
冬休み	겨울 방학	ふゆやすみ
降る	(비나 눈 등이) 내리다	ふる
古い	오래되다	ふるい
豚肉	돼지고기	ぶたにく
文	문장, 글	ぶん
文化	문화	ぶんか
文章	글, 문장	ぶんしょう
下手	서투르다	へた
部屋	방	へや
辺	근처	へん
勉強	공부	べんきょう
ペット	반려동물	ぺっと
他	그 밖	ほか
欲しい	갖고 싶다, (누가 하기를) 바라다	ほしい
本	책	ほん
本棚	책장	ほんだな
本当	진짜다	ほんとう
本屋	서점	ほんや
僕	나, 너	ぼく
～枚	(얇고 납작한 물건을 세는 단위) 장	まい
毎朝	매일 아침	まいあさ
毎週	매주	まいしゅう
毎月	매월	まいつき
毎年	매년	まいとし
毎日	매일	まいにち
毎晩	매일 밤	まいばん
前	앞, 전	まえ
曲がる	구부러지다, (길이나 모퉁이에서) 돌다	まがる
まず	우선, 아마	まず
まずい	맛없다, 서투르다, 상황이 좋지 않다	まずい
また	또	また
または	또는	または
まだ	아직, 더, 그나마	まだ
町	도시, 거리	まち
まっすぐ	곧장	まっすぐ
待つ	기다리다	まつ
窓	창문	まど
みかん	귤	みかん
右	오른쪽	みぎ
右側	오른쪽	みぎがわ
短い	짧다	みじかい
水	물	みず
店	가게	みせ
見せる	보여 주다, 보이게 하다	みせる
道	길	みち
緑	초록	みどり
皆さん	여러분	みなさん
南	남쪽	みなみ
南側	남쪽	みなみがわ
南口	남쪽 출구	みなみぐち
耳	귀, (빵의) 가장자리	みみ
見られる	볼 수 있다	みられる
見る	보다	みる
みんな	모두	みんな
昔	옛날	むかし
難しい	어렵다	むずかしい
村	마을	むら
目	눈	め
目が悪い	눈이 나쁘다	めがわるい
もう	이미, 더, 아 정말	もう
もう一度	다시 한 번	もういちど
もしもし	여보세요	もしもし
もっと	더	もっと
持つ	들다, 가지다, 오래가다	もつ
物	것	もの
もらう	받다	もらう
問題	문제	もんだい
八百屋	채소가게	やおや
約束	약속	やくそく
野菜	채소	やさい
優しい	상냥하다	やさしい
易しい	쉽다	やさしい
安い	(값이) 싸다	やすい
休み	휴식, 휴일	やすみ
休む	쉬다, 자다	やすむ
山	산	やま
やる	(일이나 활동 등을) 하다, (아랫사람이나 동식물에게) 주다	やる
夕方	저녁때	ゆうがた
ゆうべ	어젯밤	ゆうべ
夕べ	어젯밤, 저녁때	ゆうべ
有名	유명하다	ゆうめい
ゆっくり	천천히, 푹	ゆっくり
曜日	요일	ようび
洋服	서양식 옷	ようふく
よく	잘, 자주	よく
汚れる	더러워지다	よごれる
予定	예정	よてい
呼ぶ	부르다	よぶ
読む	읽다	よむ
予約	예약	よやく
夜	밤	よる
よろしく	잘 부탁하다	よろしく
よろしくお願いします	잘 부탁드립니다	よろしくおねがいします
弱い	약하다	よわい
来月	다음 달	らいげつ
来週	다음 주	らいしゅう
来年	내년	らいねん
ラーメン	라멘	らーめん
留学生	유학생	りゅうがくせい
両親	부모	りょうしん
料理	요리	りょうり
旅行	여행	りょこう
旅行会社	여행사	りょこうがいしゃ
利用	이용하다	りよう
りんご	사과	りんご
冷蔵庫	냉장고	れいぞうこ
練習	연습	れんしゅう
連絡	연락, 연결	れんらく
廊下	복도	ろうか
ワイシャツ	와이셔츠	わいしゃつ
分かる	알다	わかる
別れる	헤어지다	わかれる
忘れる	잊다, (물건을) 두고 오다	わすれる
渡す	건네다	わたす
渡る	건너다	わたる
アニメ	애니메이션	アニメ
アパート	아파트	アパート
アメリカ	미국	アメリカ
アルバイト	아르바이트	アルバイト
エアコン	에어컨	エアコン
エレベーター	엘리베이터	エレベーター
カップ	컵	カップ
カメラ	카메라	カメラ
カレンダー	달력	カレンダー
カレー	카레	カレー
キロ	킬로그램, 킬로미터	キロ
ギター	기타	ギター
クッキー	쿠키	クッキー
クラス	반, 수업	クラス
グラス	유리잔	グラス
グラム	그램	グラム
ケーキ	케이크	ケーキ
コップ	컵	コップ
コピー	복사	コピー
コンサート	콘서트	コンサート
コート	코트	コート
コーヒー	커피	コーヒー
ゴルフ	골프	ゴルフ
サイズ	사이즈	サイズ
サッカー	축구	サッカー
サンドイッチ	샌드위치	サンドイッチ
サークル	동아리	サークル
シャツ	셔츠	シャツ
シャワー	샤워	シャワー
ショッピング	쇼핑	ショッピング
スカート	치마	スカート
スキー	스키	スキー
ステーキ	스테이크	ステーキ
ストーブ	난로	ストーブ
スパゲッティ	스파게티	スパゲッティ
スポーツ	스포츠	スポーツ
スリッパ	슬리퍼	スリッパ
スーパー	슈퍼마켓	スーパー
ズボン	바지	ズボン
セット	세트, 세팅하다	セット
センター	센터	センター
セーター	스웨터	セーター
タイ	태국	タイ
タクシー	택시	タクシー
ダンス	댄스	ダンス
チケット	티켓	チケット
チョコレート	초콜릿	チョコレート
チーズ	치즈	チーズ
ティッシュペーパー	티슈 페이퍼	ティッシュペーパー
テキスト	텍스트, 교재	テキスト
テスト	테스트	テスト
